Date,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,libor,USDJPY,GBPUSD,FTSE100,NYSE,MS,JPM,Nikkei225
2010-08-03,153.190002,150.28000085714282,144.62047690476194,145.1347397290683,148.71056890454136,3.575829175473075,5.654971585298858,155.93042007535965,133.31053373416424,152.82642335990099,152.190002,5.0251297533881765,0.3,85.88,1.5949,5396.48,7146.990234000001,27.49,41.080002,9694.009766
2010-08-04,156.41000400000001,151.452859,145.77047733333336,145.96995323282695,149.89509738078414,3.925144147957184,5.724835877722059,157.22014908877748,134.32080557788925,155.215477119967,155.41000400000001,5.04606681166589,0.3,86.33,1.589,5386.16,7182.140137,27.870001000000002,41.290001000000004,9489.339844
2010-08-05,155.919998,152.69428785714285,146.72714380952382,146.707000729798,150.82200516836795,4.11500443856994,5.516193275530698,157.75953036058522,135.69475725846243,155.68515770665567,154.919998,5.042908841736662,0.29,85.81,1.5894,5365.78,7174.27002,27.84,41.27,9653.919922
2010-08-06,155.179993,153.83428728571428,147.66619076190477,147.33463541959202,151.4924648347803,4.157829415188274,5.333738571022465,158.3336679039497,136.99871361985984,155.3483812355519,154.179993,5.038120705629637,0.29,85.51,1.5947,5332.39,7153.720215,27.65,40.439999,9642.120117
2010-08-09,155.399994,154.23714328571432,148.49190485714286,147.93207435309313,152.09362316789665,4.161548814803524,4.909362216398821,158.3106292899405,138.67318042434522,155.38278974518394,154.399994,5.039546598730571,0.29,85.93,1.5902,5410.52,7188.299805,27.450001,39.82,9572.490234
2010-08-10,153.899994,154.67714142857147,149.2847617142857,148.37414587648814,152.37152637283782,3.9973804963496775,4.557192304896324,158.39914632407834,140.17037710449307,154.39425924839463,152.899994,5.029784073693682,0.29,85.32,1.5855,5376.41,7139.75,27.33,39.169998,9551.049805
2010-08-11,149.25,154.17856928571433,149.71333314285715,148.4390244219249,151.89129154624416,3.4522671243192633,3.808917629819989,157.33116840249713,142.09549788321718,150.9647530827982,148.25,4.998900037877835,0.28,85.13,1.5621,5245.21,6902.709961,26.43,37.77,9292.849609
2010-08-12,149.419998,153.63999728571434,150.20666647619046,148.51168961075265,151.5110925391275,2.999402928374849,3.628750924436086,157.46416832506264,142.94916462731828,149.93491636093273,148.419998,5.000046079066714,0.28,86.17,1.5568,5266.06,6881.939941,26.120001000000002,37.810001,9212.589844
2010-08-13,148.080002,152.44999700000002,150.34285699999998,148.47971255538323,150.9832324561823,2.5035199007990627,3.53391076573458,157.41067853146913,143.27503546853083,148.69830678697758,147.080002,4.990976670031113,0.27,86.22,1.5598,5275.44,6861.040039,25.9,37.5,9253.459961
2010-08-16,147.759995,151.28428228571428,150.41857114285713,148.42639984236376,150.48734977061378,2.060949928250011,3.411486635419695,157.24154441369652,143.59559787201775,148.0727655956592,146.759995,4.988798565417852,0.27,85.18,1.5663,5276.1,6871.580078,25.700001,37.689999,9196.669922
2010-08-17,148.58999599999999,150.34285414285714,150.5571427142857,148.438518139721,150.19544919051833,1.7569310507973341,3.4208417744705555,157.39882626322682,143.71545916534458,148.41758586521973,147.58999599999999,4.9944381320915765,0.27,85.62,1.5589,5350.55,6959.790039,26.200001,37.48,9161.679688
2010-08-18,149.199997,149.4571402857143,150.5709519047619,148.49492425471794,150.0423026996689,1.547378444950965,3.331272586930593,157.2334970786231,143.9084067309007,148.93919328840659,148.199997,4.998562692619071,0.27,85.46,1.5602,5302.87,6968.080078,26.26,37.889998999999996,9240.540039
2010-08-19,147.050003,148.47857014285714,150.57380895238094,148.38789257014474,149.58194889971872,1.1940563295739821,3.299821906440516,157.17345276526197,143.97416513949992,147.67973309613555,146.050003,4.983949049374661,0.26,85.2,1.5595,5211.29,6850.450195,25.99,37.07,9362.679688
2010-08-20,148.240005,148.33428514285717,150.65428523809524,148.3769378897811,149.37549599206926,0.9985581022881718,3.258599130400329,157.1714834988959,144.1370869772946,148.05324769871186,147.240005,4.992063942468984,0.26,85.6,1.5534,5195.28,6813.149901999999,25.92,37.139998999999996,9179.379883
2010-08-23,146.740005,147.95142900000002,150.62380904761906,148.25568313493562,148.97003583944252,0.7143527045068936,3.335774352225113,157.2953577520693,143.95226034316883,147.17775256623727,145.740005,4.981824246549807,0.26,85.08,1.5511,5234.84,6784.970215,25.719998999999998,36.880001,9116.69043
2010-08-24,143.949997,147.3614282857143,150.4214280952381,147.93674228455725,148.1977221718348,0.26097988727755705,3.58871997948754,157.59886805421317,143.24398813626303,145.0259155220791,142.949997,4.962494897781962,0.26,84.19,1.5407,5155.95,6681.029785,25.129998999999998,36.209998999999996,8995.139648
2010-08-25,144.679993,146.92142800000005,150.29999938095239,147.6955008007334,147.65653306847494,-0.03896773225847028,3.7541029522119613,157.80820528537632,142.79179347652845,144.79530050735968,143.679993,4.967588555834512,0.26,84.79,1.5462,5109.4,6696.120117,25.1,36.23,8845.389648
2010-08-26,141.809998,145.9528568571429,150.04333276190476,147.25953629822513,146.75706613486247,-0.5024701633626592,4.181370063446968,158.4060728887987,141.68059263501084,142.80509883578657,140.809998,4.947411449725683,0.26,84.31,1.5532,5155.84,6665.259765999999,24.629998999999998,35.630001,8906.480469
2010-08-27,139.75,144.60285728571435,149.4323802857143,146.70327277645328,145.67905596026728,-1.024216816185998,4.7495561324260835,158.93149255056645,139.93326802086213,140.76836627859552,138.75,4.932673752626544,0.26,85.26,1.5522,5201.56,6794.910156,25.030001000000002,36.599998,8991.05957
2010-08-31,136.929993,141.50285571428577,148.00523671428573,145.29048396318257,143.15896850409507,-2.1315154590874954,5.921455940952839,159.8481485961914,136.16232483238005,137.29648136428838,135.929993,4.912139995850061,0.26,84.13,1.5351,5225.22,6704.149902,24.690001000000002,36.360001000000004,8824.05957
2010-09-01,139.740005,140.50285571428577,147.36476066666668,144.87933644993183,142.63297411884938,-2.2463623310824516,5.8099083441012045,158.9845773548691,135.74494397846428,138.92549712142946,138.740005,4.932601713995788,0.26,84.51,1.5457,5366.41,6910.97998,25.41,37.740002000000004,8927.019531
2010-09-02,139.779999,139.90714171428576,146.5728556666667,144.50160696444362,142.19405486979542,-2.3075520946482015,5.610414131722873,157.79368393011245,135.35202740322094,139.4951650404765,138.779999,4.932889938265753,0.26,84.37,1.5401,5371.04,6966.25,25.68,38.16,9062.839844
2010-09-03,147.28999299999998,140.27999885714289,146.1619030476191,144.70815447589055,142.97804535136567,-1.730109124524887,5.201225363914275,156.56435377544764,135.75945231979054,144.69171701349217,146.28999299999998,4.985590905139833,0.26,84.34,1.5448,5428.15,7055.029785,26.66,39.169998,9114.129883
2010-09-07,145.21000700000002,140.76571442857147,145.68714180952384,144.74532880321183,143.3214240665403,-1.4239047366715454,4.674593865771831,155.0363295410675,136.33795407798019,145.03724367116408,144.21000700000002,4.971270619114301,0.26,83.75,1.5362,5407.82,6959.939941,25.67,38.279999,9226.0
2010-09-08,147.53999299999998,141.8785705714286,145.31285604761908,144.95234130766985,143.9704346716881,-0.9819066359817441,4.2486343887699425,153.81012482515897,136.8155872700792,146.70574322372136,146.53999299999998,4.987298380963289,0.26,84.0,1.5473,5429.74,6999.939941,25.969998999999998,39.119999,9024.599609
2010-09-09,149.139999,143.66142700000003,145.08618961904764,145.2625386479062,144.76575226065935,-0.496786387246857,4.242751375850417,153.57169237074848,136.6006868673468,148.3285804079071,148.139999,4.998157765834772,0.26,83.92,1.5429,5494.16,7034.370117,27.01,40.099998,9098.389648
2010-09-10,150.389999,145.58428500000005,145.14047528571433,145.64235106338052,145.63102098978885,-0.011330073591665268,4.30252795520647,153.74553119612727,136.5354193753014,149.70285946930235,149.389999,5.006560329360338,0.26,84.18,1.5351,5501.64,7067.509765999999,27.190001000000002,39.759997999999996,9239.169922
2010-09-13,154.369995,147.6742835714286,145.37618942857148,146.28884405402778,146.97547852982157,0.6866344757937952,4.751620346057787,154.87943012068706,135.8729487364559,152.81428315643413,153.369995,5.032853270061788,0.26,83.61,1.5429,5565.53,7156.180176000001,27.77,41.119999,9321.820313
2010-09-14,152.529999,149.49571214285717,145.58809404761908,146.7511523887572,147.8300201406184,1.0788677518611962,4.998034126693799,155.58416230100667,135.5920257942315,152.62476038547803,151.529999,5.020783618548718,0.26,83.08,1.5537,5567.41,7162.080078,27.52,40.720001,9299.30957
2010-09-16,152.229996,151.25142557142857,145.98999895238097,147.55540540039286,149.12267626636003,1.5672708659671741,5.352628157620664,156.69525526762231,135.28474263713963,152.34719248727535,151.229996,5.018801830312871,0.26,85.81,1.5621,5540.14,7169.47998,26.780001000000002,40.990002000000004,9509.5
2010-09-17,150.979996,151.74285457142858,146.07476080952384,147.8090790224842,149.40841776384315,1.5993387413589346,5.470628186637924,157.0160171827997,135.133504436248,151.4357281624251,149.979996,5.0105019252030205,0.26,85.86,1.5629,5508.45,7154.649901999999,26.469998999999998,40.060001,9626.089844
2010-09-21,151.399994,152.28142457142854,146.45618842857144,148.3556571935506,150.03916131020725,1.6835041166566498,5.726846280330868,157.90988098923316,135.00249586790972,151.5150755736028,150.399994,5.013298371622121,0.26,84.99,1.5611,5576.19,7245.950195,26.059998999999998,40.59,9602.110352
2010-09-22,148.070007,151.38142628571427,146.51952185714285,148.33449790377517,149.73621449325228,1.401716589477104,5.70655311922564,157.93262809559414,135.10641561869156,149.21836319120095,147.070007,4.990908711508604,0.26,84.59,1.5661,5551.91,7210.850098000001,24.950001,39.939999,9566.320313
